,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
4808,-48.93869154946155,-10.38222788959559,Djed Spence,"FW,DF",Tottenham,2022,Premier League,-38.55646365986596
4809,-19.849743485200385,-6.434876392989045,Djed Spence,DF,Rennes,2022,Ligue 1,-13.41486709221134
4810,78.74893033564443,8.296996594054706,Stijn Spierings,MF,Toulouse,2022,Ligue 1,70.45193374158973
4811,24.20318670644007,-0.6646380751162728,Leonardo Spinazzola,DF,Roma,2022,Serie A,24.867824781556344
4812,-42.73427276149545,-5.583004624406207,Jack Stacey,DF,Bournemouth,2022,Premier League,-37.15126813708924
4813,24.360219431620404,4.964234766578801,Anton Stach,MF,Mainz 05,2022,Bundesliga,19.395984665041603
4814,-12.650350396058236,-2.425515524191223,Kostas Stafylidis,"DF,MF",Bochum,2022,Bundesliga,-10.224834871867014
4815,6.681616246178272,1.224058960740333,Jens Stage,MF,Werder Bremen,2022,Bundesliga,5.4575572854379395
4816,-63.61065062783038,-10.471108706242973,Veit Stange,MF,Hertha BSC,2022,Bundesliga,-53.13954192158741
4817,-10.206974035352218,-3.6738750352487717,Josip Stanišić,DF,Bayern Munich,2022,Bundesliga,-6.533099000103446
4818,-43.21629742699606,-10.360022071103733,Junior Stanislas,MF,Bournemouth,2022,Premier League,-32.85627535589232
4819,-49.38860714587658,-10.014710659814707,Jay Stansfield,FW,Fulham,2022,Premier League,-39.37389648606187
4820,22.863578996772453,0.08249978460654472,Niklas Stark,DF,Werder Bremen,2022,Bundesliga,22.78107921216591
4821,-32.08194506107092,-8.106309453459396,Calvin Stengs,FW,Nice,2022,Ligue 1,-23.975635607611522
4822,-28.097628284914,-6.373652117822839,Pascal Stenzel,DF,Stuttgart,2022,Bundesliga,-21.72397616709116
4823,-41.30659873562804,-10.38130819897389,Jack Stephens,DF,Southampton,2022,Premier League,-30.925290536654153
4824,-8.446178418964946,-7.425855699610265,Jack Stephens,DF,Bournemouth,2022,Premier League,-1.0203227193546809
4825,23.21021132752852,6.862300718379643,Raheem Sterling,"FW,MF",Chelsea,2022,Premier League,16.347910609148876
4826,-16.76606738418241,-5.206238545536065,Angelo Stiller,MF,Hoffenheim,2022,Bundesliga,-11.559828838646345
4827,26.68258248863198,5.413635565611088,Lars Stindl,"FW,MF",M'Gladbach,2022,Bundesliga,21.26894692302089
4828,67.8919907514041,9.331361338355498,Kevin Stöger,MF,Bochum,2022,Bundesliga,58.560629413048595
4829,15.863252692440128,-1.9448743308177852,Petar Stojanović,DF,Empoli,2022,Serie A,17.808127023257914
4830,28.678406637635344,-2.650817342395374,John Stones,"DF,MF",Manchester City,2022,Premier League,31.32922398003072
4831,-4.927209739034047,8.078208016668988,Jørgen Strand Larsen,FW,Celta Vigo,2022,La Liga,-13.005417755703036
4832,-42.42876209214165,-9.818858670532206,Tony Strata,"MF,DF",Ajaccio,2022,Ligue 1,-32.609903421609445
4833,50.557350187230334,14.528020728297484,Gabriel Strefezza,"FW,MF",Lecce,2022,Serie A,36.02932945893285
4834,-45.24441057984237,-4.849606934683442,Dávid Strelec,FW,Spezia,2022,Serie A,-40.39480364515893
4835,34.827037739139946,6.675628490908437,Pascal Struijk,DF,Leeds United,2022,Premier League,28.15140924823151
4836,-16.028093590672047,3.059649047455191,Cristhian Stuani,FW,Girona,2022,La Liga,-19.08774263812724
4837,18.002291803614245,3.5288592542469166,Damián Suárez,"DF,MF",Getafe,2022,La Liga,14.473432549367327
4838,-8.985574648884574,-2.0043814588042124,Denis Suárez,"MF,FW",Espanyol,2022,La Liga,-6.981193190080361
4839,-49.609769136291064,-7.902822209388015,Mario Suárez,"MF,DF",Rayo Vallecano,2022,La Liga,-41.70694692690305
4840,9.099140237245708,1.3554523034027024,Gabriel Suazo,DF,Toulouse,2022,Ligue 1,7.743687933843005
4841,7.771044801719917,9.484634114797672,Isaac Success,FW,Udinese,2022,Serie A,-1.7135893130777546
4842,48.76593233040867,-6.2771188941972245,Niklas Süle,DF,Dortmund,2022,Bundesliga,55.04305122460589
4843,-27.77479049196545,-2.877678130523667,Ibrahim Sulemana,MF,Hellas Verona,2022,Serie A,-24.897112361441785
4844,-9.2196775581557,-0.6912762470699059,Kamaldeen Sulemana,"FW,MF",Southampton,2022,Premier League,-8.528401311085794
4845,-23.64281771734352,-4.755992345620707,Kamaldeen Sulemana,"FW,MF",Rennes,2022,Ligue 1,-18.88682537172281
4846,6.302120128190435,3.572389289602622,Crysencio Summerville,FW,Leeds United,2022,Premier League,2.7297308385878125
4847,-19.32243714887236,-0.5719111599565464,Ivan Šunjić,MF,Hertha BSC,2022,Bundesliga,-18.750525988915815
4848,-41.81819984524703,-2.7690228768392604,Sam Surridge,FW,Nott'ham Forest,2022,Premier League,-39.04917696840777
4849,10.21189151762395,-2.1834104275765855,Suso,"MF,FW",Sevilla,2022,La Liga,12.395301945200536
4850,-16.357559468309397,-8.872289652953627,Yuito Suzuki,"FW,MF",Strasbourg,2022,Ligue 1,-7.485269815355769
4851,14.131132061918887,5.300354073264556,Mattias Svanberg,"MF,FW",Wolfsburg,2022,Bundesliga,8.830777988654331
4852,-43.91422933351466,-7.920108089093404,Williot Swedberg,MF,Celta Vigo,2022,La Liga,-35.99412124442126
4853,9.168354121256048,-2.4844472218117204,Issiaga Sylla,DF,Montpellier,2022,Ligue 1,11.652801343067768
4854,9.04302456324773,2.4119717612178935,Issiaga Sylla,DF,Toulouse,2022,Ligue 1,6.631052802029837
4855,79.92839252842334,17.104525608283318,Dominik Szoboszlai,"MF,FW",RB Leipzig,2022,Bundesliga,62.82386692014003
4856,12.555282143299173,14.51229463492573,Alexander Sørloth,FW,Real Sociedad,2022,La Liga,-1.957012491626557
4857,-42.06257501818396,-5.928272484446869,Alexander Sørloth,FW,RB Leipzig,2022,Bundesliga,-36.13430253373709
4858,65.48100953724717,9.058504894924628,Nicolás Tagliafico,DF,Lyon,2022,Ligue 1,56.42250464232255
4859,31.16721199285234,-2.488425370256526,Jonathan Tah,DF,Leverkusen,2022,Bundesliga,33.655637363108866
4860,-30.728852699481592,-6.7966391295246735,Benjamin Tahirovic,MF,Roma,2022,Serie A,-23.932213569956918
4861,-32.035551112320086,-7.898139644372321,Waniss Taibi,MF,Angers,2022,Ligue 1,-24.137411467947764
4862,31.584925715802168,0.2405451258612561,Flavien Tait,MF,Rennes,2022,Ligue 1,31.34438058994091
4863,59.14333452985267,0.669879391258327,Montassar Talbi,DF,Lorient,2022,Ligue 1,58.473455138594346
4864,-49.19423016421055,-10.333525251216301,Thibault Tamas,DF,Montpellier,2022,Ligue 1,-38.86070491299425
4865,29.98198214930852,7.3800921278522775,Adrien Tameze,MF,Hellas Verona,2022,Serie A,22.601890021456242
4866,-36.41434630405155,-7.575910765208459,Japhet Tanganga,DF,Tottenham,2022,Premier League,-28.83843553884309
4867,5.903449217236458,8.803587546240019,Renato Tapia,"MF,DF",Celta Vigo,2022,La Liga,-2.9001383290035605
4868,64.237746491593,7.940087634510455,Edmond Tapsoba,DF,Leverkusen,2022,Bundesliga,56.297658857082546
4869,11.410679892162337,-4.5168740876575155,Florian Tardieu,MF,Troyes,2022,Ligue 1,15.927553979819852
4870,-20.985056256040032,-7.307638412075111,Matt Targett,DF,Newcastle Utd,2022,Premier League,-13.677417843964921
4871,60.39580699454589,6.203949388052166,James Tarkowski,DF,Everton,2022,Premier League,54.19185760649373
4872,-39.630709579579616,-10.129445953842234,Niklas Tauer,"DF,MF",Mainz 05,2022,Bundesliga,-29.50126362573738
4873,57.340626070113416,17.598134485241673,Nuno Tavares,"DF,MF",Marseille,2022,Ligue 1,39.74249158487174
4874,22.85238542739777,5.5075682312081256,Marcus Tavernier,"MF,FW",Bournemouth,2022,Premier League,17.344817196189645
4875,-6.853472606181616,-3.555859323312705,Enzo Tchato,DF,Montpellier,2022,Ligue 1,-3.297613282868911
4876,51.43612015505967,-1.7264947990161947,Aurélien Tchouaméni,MF,Real Madrid,2022,La Liga,53.16261495407586
4877,-15.915551758236175,-2.1445730993132064,Mathys Tel,FW,Bayern Munich,2022,Bundesliga,-13.770978658922969
4878,-49.667057200179634,-10.161586548847588,Semir Telalovic,"MF,FW",M'Gladbach,2022,Bundesliga,-39.50547065133205
4879,4.9395346362822,-1.2455803129785314,Alex Telles,DF,Sevilla,2022,La Liga,6.185114949260732
4880,-6.8206720834834655,11.436563898034507,Simon Terodde,FW,Schalke 04,2022,Bundesliga,-18.257235981517972
4881,-17.275326133231847,-5.714616556430398,Filippo Terracciano,"DF,MF",Hellas Verona,2022,Serie A,-11.560709576801449
4882,-10.152206170191596,-0.8968514563152227,Ramón Terrats,MF,Villarreal,2022,La Liga,-9.255354713876374
4883,-36.18430753629103,-5.234700065808468,Ramón Terrats,MF,Girona,2022,La Liga,-30.94960747048256
4884,20.52825520423426,-0.44761023261919797,Martin Terrier,"FW,MF",Rennes,2022,Ligue 1,20.975865436853457
4885,10.820324954418492,-4.735388696067757,Aleksa Terzić,DF,Fiorentina,2022,Serie A,15.555713650486249
4886,-19.28890924438103,-3.968469551879747,Tetê,FW,Leicester City,2022,Premier League,-15.320439692501285
4887,8.461353227549894,0.3194074550644859,Tetê,"FW,MF",Lyon,2022,Ligue 1,8.141945772485409
4888,55.28384320783946,3.7741156919941607,Kenny Tete,DF,Fulham,2022,Premier League,51.5097275158453
4889,-26.61798071068078,-2.4614431435390243,Florian Thauvin,"FW,MF",Udinese,2022,Serie A,-24.156537567141754
4890,76.27260499713329,9.444993998699765,Arthur Theate,DF,Rennes,2022,Ligue 1,66.82761099843353
4891,5.350563472680504,-1.68352570616399,Malick Thiaw,DF,Milan,2022,Serie A,7.034089178844494
4892,-32.27607631395129,-5.831721740533274,Malick Thiaw,DF,Schalke 04,2022,Bundesliga,-26.444354573418018
4893,-7.96537118855427,1.0038816994061635,Jan Thielmann,FW,Köln,2022,Bundesliga,-8.969252887960433
4894,-3.230131710695455,-0.6109891002540544,Sada Thioub,"DF,FW",Angers,2022,Ligue 1,-2.6191426104414006
4895,-8.654705292934212,0.6183798749979281,Luke Thomas,DF,Leicester City,2022,Premier League,-9.27308516793214
4896,-5.226974563998547,-1.705596341256053,Adrien Thomasson,MF,Strasbourg,2022,Ligue 1,-3.5213782227424937
4897,14.447515821054582,-1.2570106840146669,Adrien Thomasson,"MF,FW",Lens,2022,Ligue 1,15.704526505069248
4898,-28.96818877091116,-0.29541332243403706,Morten Thorsby,MF,Union Berlin,2022,Bundesliga,-28.672775448477122
4899,-5.6879644183367635,-3.1014222919762617,Kristian Thorstvedt,MF,Sassuolo,2022,Serie A,-2.5865421263605017
4900,54.58647200289746,3.027161398321657,Khéphren Thuram,MF,Nice,2022,Ligue 1,51.5593106045758
4901,30.746525649704278,12.242358688388421,Marcus Thuram,FW,M'Gladbach,2022,Bundesliga,18.504166961315857
4902,-39.77547837525728,-10.360022071103733,Alexis Tibidi,"FW,MF",Troyes,2022,Ligue 1,-29.415456304153544
4903,51.61438572003801,1.884981718282193,Youri Tielemans,MF,Leicester City,2022,Premier League,49.72940400175582
4904,-15.749613238897757,-7.2851810493721585,Kieran Tierney,DF,Arsenal,2022,Premier League,-8.4644321895256
4905,-9.872268992701843,3.341886427778883,Steffen Tigges,FW,Köln,2022,Bundesliga,-13.214155420480726
4906,63.76606659623424,13.954706767899339,Jean-Clair Todibo,DF,Nice,2022,Ligue 1,49.8113598283349
4907,-23.077764571791477,-2.6586120444829415,Harry Toffolo,DF,Nott'ham Forest,2022,Premier League,-20.419152527308533
4908,-39.21896519827709,-5.551419115967238,Umut Tohumcu,"MF,DF",Hoffenheim,2022,Bundesliga,-33.667546082309855
4909,-13.042593030041095,-2.8802929043269936,Karl Toko Ekambi,"FW,MF",Rennes,2022,Ligue 1,-10.1623001257141
4910,11.231356957936741,-0.24766450369675752,Karl Toko Ekambi,"FW,MF",Lyon,2022,Ligue 1,11.479021461633499
4911,65.86296696471344,2.466345364303126,Corentin Tolisso,MF,Lyon,2022,Ligue 1,63.39662160041031
4912,36.488519822608765,0.8520136076395749,Jeremy Toljan,DF,Sassuolo,2022,Serie A,35.63650621496919
4913,52.723097330798716,9.16834015448514,Rafael Tolói,DF,Atalanta,2022,Serie A,43.55475717631357
4914,-20.69247247706034,1.3351920409457758,Raúl de Tomás,FW,Rayo Vallecano,2022,La Liga,-22.027664518006112
4915,-5.117199475568944,1.0162314752027601,Tiago Tomás,"FW,MF",Stuttgart,2022,Bundesliga,-6.133430950771704
4916,-18.26186888756435,-3.975500487707985,Takehiro Tomiyasu,DF,Arsenal,2022,Premier League,-14.286368399856366
4917,-27.374954822594418,-1.8308759038437987,James Tomkins,DF,Crystal Palace,2022,Premier League,-25.54407891875062
4918,52.06306629980029,0.4026062913289652,Fikayo Tomori,DF,Milan,2022,Serie A,51.660460008471325
4919,57.530982239241844,4.046681020024703,Sandro Tonali,MF,Milan,2022,Serie A,53.484301219217144
4920,-46.89749535278643,-7.8651446127615365,Lorenzo Tonelli,DF,Empoli,2022,Serie A,-39.032350740024896
4921,45.84247112647203,20.557105149417623,Ivan Toney,FW,Brentford,2022,Premier League,25.285365977054404
4922,-34.40291064778531,-8.208811144029944,Pablo Torre,"FW,MF",Barcelona,2022,La Liga,-26.194099503755368
4923,-32.61731740253938,-9.370229709770188,David Torres,DF,Valladolid,2022,La Liga,-23.247087692769192
4924,10.010675427912078,5.695832000615683,Ferrán Torres,"FW,MF",Barcelona,2022,La Liga,4.314843427296395
4925,34.785098380928325,5.570820496761931,Óliver Torres,"MF,FW",Sevilla,2022,La Liga,29.214277884166393
4926,74.86916787910991,8.486468411185978,Pau Torres,DF,Villarreal,2022,La Liga,66.38269946792393
4927,-30.488764483199336,-8.33287369514767,Roberto Torres,"FW,MF",Osasuna,2022,La Liga,-22.155890788051664
4928,17.538536550727684,7.282820592602632,Lucas Torró,MF,Osasuna,2022,La Liga,10.255715958125052
4929,-24.90350378546249,-7.441817719773507,Almamy Touré,DF,Eint Frankfurt,2022,Bundesliga,-17.461686065688983
4930,48.998832275797405,8.25234812294686,Birama Touré,MF,Auxerre,2022,Ligue 1,40.74648415285054
4931,-45.45605634882172,-7.782415338733646,Mohamed Toure,"FW,MF",Reims,2022,Ligue 1,-37.673641010088076
4932,-42.80985151694803,-5.731725304923562,Souleymane Touré,DF,Marseille,2022,Ligue 1,-37.078126212024465
4933,4.851596952772621,5.949840501850157,Souleymane Touré,DF,Auxerre,2022,Ligue 1,-1.0982435490775364
4934,32.74101009298522,8.545525975575188,Lucas Tousart,MF,Hertha BSC,2022,Bundesliga,24.195484117410032
4935,-40.785865201684864,-3.0292131539445313,Yoann Touzghar,FW,Ajaccio,2022,Ligue 1,-37.75665204774033
4936,8.320364234376816,3.173147072005919,Adama Traoré,"FW,MF",Wolves,2022,Premier League,5.147217162370897
4937,-29.734865664967973,-4.842950988850255,Bertrand Traoré,"FW,MF",Aston Villa,2022,Premier League,-24.891914676117718
4938,-32.741815620565404,-5.962123856601094,Boubacar Traoré,MF,Wolves,2022,Premier League,-26.77969176396431
4939,-31.70248531708758,-2.5401538040436504,Charles Traore,DF,Nantes,2022,Ligue 1,-29.162331513043927
4940,61.65682769018176,6.130533520534561,Hamari Traoré,DF,Rennes,2022,Ligue 1,55.526294169647194
4941,40.29864271880153,19.006689615783795,Óscar Trejo,"MF,FW",Rayo Vallecano,2022,La Liga,21.291953103017736
4942,-11.518347582596443,-0.8830524590277364,Manu Trigueros,MF,Villarreal,2022,La Liga,-10.635295123568707
4943,16.44348037735339,-2.3166449246278846,Christopher Trimmel,DF,Union Berlin,2022,Bundesliga,18.760125301981272
4944,117.61874072839977,14.155608760307176,Kieran Trippier,DF,Newcastle Utd,2022,Premier League,103.4631319680926
4945,-26.39081224969984,-9.10789711911454,William Troost-Ekong,DF,Salernitana,2022,Serie A,-17.2829151305853
4946,5.395953629083515,-2.784219253686957,Leandro Trossard,FW,Arsenal,2022,Premier League,8.18017288277047
4947,13.208276733893102,-0.63149985858945,Leandro Trossard,"FW,MF",Brighton,2022,Premier League,13.839776592482552
4948,39.56489765054685,-0.4354113697778285,Adrien Truffert,DF,Rennes,2022,Ligue 1,40.00030902032468
4949,-17.32702024419374,-1.745794296763241,Frank Tsadjout,FW,Cremonese,2022,Serie A,-15.581225947430498
4950,-7.950951373303018,-3.8550776297126053,Kostas Tsimikas,DF,Liverpool,2022,Premier League,-4.0958737435904125
4951,-38.60741791189374,-10.517971963378862,Theocharis Tsingaras,MF,Toulouse,2022,Ligue 1,-28.08944594851488
4952,13.12675611565285,-4.075231226912725,Viktor Tsyhankov,MF,Girona,2022,La Liga,17.201987342565573
4953,-31.46645882765604,-7.298766155166991,Alessandro Tuia,DF,Lecce,2022,Serie A,-24.16769267248905
4954,-37.72752227384219,-8.210892618529599,Beñat Turrientes,"MF,FW",Real Sociedad,2022,La Liga,-29.51662965531259
4955,50.75345091928536,6.814602206389215,Tuta,DF,Eint Frankfurt,2022,Bundesliga,43.938848712896146
4956,54.933621616150894,12.259193617847759,Destiny Udogie,DF,Udinese,2022,Serie A,42.67442799830314
4957,-31.45451581250558,-1.5665175837067276,Ike Ugbo,"FW,MF",Troyes,2022,Ligue 1,-29.887998228798853
4958,-1.4001923155634501,-1.2944232436336307,Lesley Ugochukwu,MF,Rennes,2022,Ligue 1,-0.10576907192981944
4959,-48.37566819675889,-10.424245449107081,Lauren Ulrich,MF,Stuttgart,2022,Bundesliga,-37.951422747651804
4960,6.1155851644846555,-0.9962203473808133,Samuel Umtiti,DF,Lecce,2022,Serie A,7.111805511865469
4961,36.09032095166522,20.947210164240378,Enes Ünal,FW,Getafe,2022,La Liga,15.143110787424842
4962,-20.630294114376465,0.3078103017968522,Deniz Undav,"FW,MF",Brighton,2022,Premier League,-20.938104416173317
4963,50.28285923683873,7.693681943870094,Cengiz Ünder,"MF,DF",Marseille,2022,Ligue 1,42.589177292968635
4964,61.59006263609615,10.558065953697579,Dayot Upamecano,DF,Bayern Munich,2022,Bundesliga,51.03199668239857
4965,-5.4600374241824445,12.490899744667624,Filip Uremović,DF,Hertha BSC,2022,Bundesliga,-17.950937168850068
4966,-38.20274610178777,-9.797340539120402,Oscar Ureña,MF,Girona,2022,La Liga,-28.405405562667365
4967,-28.0173989226882,-9.554121702711047,Jere Uronen,DF,Brest,2022,Ligue 1,-18.463277219977154
4968,-24.287779421676216,-4.032220915631945,Jere Uronen,DF,Schalke 04,2022,Bundesliga,-20.25555850604427
4969,-34.72306443084341,-7.4394704461474985,Mark Uth,"MF,FW",Köln,2022,Bundesliga,-27.28359398469591
4970,1.013095510320967,7.17497286693743,Josha Vagnoman,DF,Stuttgart,2022,Bundesliga,-6.161877356616463
4971,-35.842675657676054,-6.214666585900817,Diego Valencia,"MF,FW",Salernitana,2022,Serie A,-29.62800907177524
4972,37.89369400659679,11.891912716726024,Óscar Valentín,MF,Rayo Vallecano,2022,La Liga,26.001781289870763
4973,46.64877087738381,9.35206137142955,Emanuele Valeri,DF,Cremonese,2022,Serie A,37.29670950595426
4974,-47.97820401991854,-10.267492595568063,Yan Valery,DF,Southampton,2022,Premier League,-37.71071142435048
4975,34.87123023695581,3.8701473071681876,Yan Valery,DF,Angers,2022,Ligue 1,31.00108292978762
4976,15.905548173600678,0.9721306086120572,Martin Valjent,DF,Mallorca,2022,La Liga,14.933417564988622
4977,-34.04442986860997,-10.517971963378862,Jesús Vallejo,DF,Real Madrid,2022,La Liga,-23.526457905231105
4978,-22.039429837512696,-5.918511560964857,Manu Vallejo,"FW,MF",Girona,2022,La Liga,-16.12091827654784
4979,-28.99070038124626,-4.093086856636694,Mattia Valoti,"MF,FW",Monza,2022,Serie A,-24.897613524609568
4980,64.33661109408266,-3.3121309482714336,Federico Valverde,"MF,FW",Real Madrid,2022,La Liga,67.64874204235409
4981,64.37170829707327,0.7562252362798915,Virgil van Dijk,DF,Liverpool,2022,Premier League,63.61548306079338
4982,50.12963605180324,13.26171173642867,Vanderson,"DF,MF",Monaco,2022,Ligue 1,36.867924315374566
4983,11.51859369737704,-1.1335390203232074,Raphaël Varane,DF,Manchester Utd,2022,Premier League,12.652132717700248
4984,-12.858219749081899,6.7773004355046105,Jamie Vardy,FW,Leicester City,2022,Premier League,-19.63552018458651
4985,-7.556275018212265,1.1444918028825852,Ruben Vargas,"MF,FW",Augsburg,2022,Bundesliga,-8.70076682109485
4986,7.981265145191727,0.5888926867553133,Johan Vásquez,DF,Cremonese,2022,Serie A,7.392372458436413
4987,-30.04935855336588,-5.604924321497267,Jesus Vazquez,"DF,MF",Valencia,2022,La Liga,-24.444434231868613
4988,-31.162918841225455,-8.13203866402144,Kevin Vázquez,"DF,MF",Celta Vigo,2022,La Liga,-23.030880177204015
4989,21.304206294152927,-4.108821403371224,Lucas Vázquez,DF,Real Madrid,2022,La Liga,25.41302769752415
4990,12.64172859625866,1.568333456341905,Matías Vecino,MF,Lazio,2022,Serie A,11.073395139916755
4991,40.426525910903955,10.607009441303072,Gabriel Veiga,MF,Celta Vigo,2022,La Liga,29.819516469600885
4992,-25.97168974585977,-4.699085751455508,Renato Veiga,DF,Augsburg,2022,Bundesliga,-21.272603994404264
4993,32.46537894892215,-2.1335614095782702,Miloš Veljković,DF,Werder Bremen,2022,Bundesliga,34.59894035850042
4994,-3.93888680419316,0.8237366151789371,Miguel Veloso,MF,Hellas Verona,2022,Serie A,-4.7626234193720975
4995,35.57464599280157,1.7775402501269235,Joël Veltman,DF,Brighton,2022,Premier League,33.797105742674646
4996,49.40417158919942,4.9958172806864365,Micky van de Ven,DF,Wolfsburg,2022,Bundesliga,44.40835430851298
4997,-32.02195502303173,-5.981877534805405,Unai Vencedor Paris,MF,Athletic Club,2022,La Liga,-26.040077488226324
4998,-7.729946707005794,-3.3303655007673365,Lorenzo Venuti,DF,Fiorentina,2022,Serie A,-4.399581206238458
4999,-10.631158311634707,-5.151409444126579,Daniele Verde,"FW,MF",Spezia,2022,Serie A,-5.479748867508127
5000,-2.6865578938534505,-0.15638985334385,Simone Verdi,"MF,FW",Hellas Verona,2022,Serie A,-2.5301680405096003
5001,-25.687629235950258,0.9692499432883027,Gonzalo Verdú,DF,Elche,2022,La Liga,-26.65687917923856
5002,79.78494829284202,7.717254765619193,Jordan Veretout,MF,Marseille,2022,Ligue 1,72.06769352722283
5003,90.42616697266917,14.064376759355055,Marco Verratti,MF,Paris S-G,2022,Ligue 1,76.36179021331411
5004,-16.5311605638747,-1.1445090794841295,Valerio Verre,MF,Sampdoria,2022,Serie A,-15.38665148439057
5005,51.92295667696682,13.377011397225932,Mikel Vesga,MF,Athletic Club,2022,La Liga,38.54594527974089
5006,-15.64305037612343,-0.46732889521983534,João Victor,DF,Nantes,2022,Ligue 1,-15.175721480903594
5007,-10.52027853233064,7.678395881921455,Aleix Vidal,"MF,FW",Espanyol,2022,La Liga,-18.198674414252096
5008,6.114726237973308,2.224908503841678,Clément Vidal,"DF,MF",Ajaccio,2022,Ligue 1,3.88981773413163
5009,-7.745032749339805,0.4575861787575632,Nacho Vidal,DF,Osasuna,2022,La Liga,-8.202618928097367
5010,-33.49300647144955,-10.474757365131259,Gabriel Vidovic,FW,Bayern Munich,2022,Bundesliga,-23.018249106318287
5011,-21.06858124061167,-5.42644968772644,Fabio Vieira,"MF,FW",Arsenal,2022,Premier League,-15.642131552885232
5012,-41.69895400864354,-10.244367086454506,Ronaldo Vieira,MF,Torino,2022,Serie A,-31.454586922189034
5013,-16.174895781854637,-0.4399787026264722,Ronaldo Vieira,MF,Sampdoria,2022,Serie A,-15.734917079228165
5014,-30.18089488856022,-9.333185874460483,Emanuel Vignato,"MF,FW",Bologna,2022,Serie A,-20.84770901409974
5015,-26.992638510458466,-10.312239123346142,Emanuel Vignato,"MF,FW",Empoli,2022,Serie A,-16.680399387112324
5016,-31.868329193207416,-9.239939452163531,Samuele Vignato,"MF,FW",Monza,2022,Serie A,-22.628389741043883
5017,17.537390821050444,6.564300148970695,Tonny Vilhena,MF,Salernitana,2022,Serie A,10.97309067207975
5018,-44.108954771160576,-7.112328563197625,Toni Villa,MF,Valladolid,2022,La Liga,-36.99662620796295
5019,-5.185977067476454,2.014180196557367,Toni Villa,"MF,FW",Girona,2022,La Liga,-7.200157264033821
5020,-47.35725119922647,-10.089423510560374,Asier Villalibre,FW,Athletic Club,2022,La Liga,-37.267827688666095
5021,-23.3470833576904,-2.187300125170748,Gonzalo Villar,MF,Sampdoria,2022,Serie A,-21.159783232519654
5022,-23.635632583503657,-4.408993816388553,Gonzalo Villar,MF,Getafe,2022,La Liga,-19.226638767115105
5023,-18.6599838839629,-4.420692634404546,Matías Viña,DF,Bournemouth,2022,Premier League,-14.239291249558356
5024,-33.19576037444757,-9.940430892169683,Matías Viña,DF,Roma,2022,Serie A,-23.25532948227789
5025,-48.972221262118936,-10.27912987622965,Rúben Vinagre,"DF,MF",Everton,2022,Premier League,-38.69309138588929
5026,-19.167319885861552,2.771660101494385,Carlos Vinícius,FW,Fulham,2022,Premier League,-21.938979987355935
5027,-33.77461270861857,-3.8316877140972956,Alan Virginius,FW,Lille,2022,Ligue 1,-29.942924994521274
5028,-18.454050028482843,-7.444035721916132,Mattia Viti,DF,Nice,2022,Ligue 1,-11.010014306566712
5029,-29.690585034434708,-3.929936078417274,Vitinha,FW,Marseille,2022,Ligue 1,-25.760648956017434
5030,63.10177076155707,3.842415525007488,Vitinha,MF,Paris S-G,2022,Ligue 1,59.25935523654958
5031,32.742140196169586,9.371450693182748,Daniel Vivian,DF,Athletic Club,2022,La Liga,23.37068950298684
5032,5.4294985766882675,8.89812151409907,Dušan Vlahović,FW,Juventus,2022,Serie A,-3.468622937410803
5033,45.79685362787776,10.197219889396257,Nikola Vlašić,"MF,FW",Torino,2022,Serie A,35.5996337384815
5034,-44.96636132619309,-9.36062620713438,Joel Voelkerling Persson,"FW,MF",Lecce,2022,Serie A,-35.60573511905871
5035,17.168053155909163,-3.755841100848735,Kevin Vogt,DF,Hoffenheim,2022,Bundesliga,20.923894256757897
5036,20.399498377134176,-0.41935947687276276,Mërgim Vojvoda,DF,Torino,2022,Serie A,20.81885785400694
5037,-21.425258276408808,-2.208285600659864,Kevin Volland,"FW,MF",Monaco,2022,Ligue 1,-19.216972675748945
5038,-27.457799103571706,-6.202169593721528,Cristian Volpato,MF,Roma,2022,Serie A,-21.255629509850177
5039,-39.119528271914376,-8.332021740775414,Lukáš Vorlický,"MF,FW",Atalanta,2022,Serie A,-30.787506531138963
5040,-37.66116097338707,-6.40448991863638,Aster Vranckx,MF,Milan,2022,Serie A,-31.25667105475069
5041,-49.67513789445044,-10.517971963378862,Aster Vranckx,MF,Wolfsburg,2022,Bundesliga,-39.157165931071575
5042,14.07949633334708,-2.960920070165208,Stefan de Vrij,DF,Inter,2022,Serie A,17.04041640351229
5043,-53.55825695910765,-5.795899721437475,Robert Wagner,MF,Freiburg,2022,Bundesliga,-47.76235723767018
5044,30.94824714779788,18.67943670246998,Elye Wahi,FW,Montpellier,2022,Ligue 1,12.268810445327897
5045,57.20298183745285,9.662346134749669,Walace,MF,Udinese,2022,Serie A,47.540635702703185
5046,-17.953501128775798,3.8804224080859786,Theo Walcott,"FW,MF",Southampton,2022,Premier League,-21.833923536861775
5047,-25.18755576090838,-3.4538216209429287,Luca Waldschmidt,"FW,MF",Wolfsburg,2022,Bundesliga,-21.733734139965453
5048,33.65498305461358,-4.060185378430534,Kyle Walker,DF,Manchester City,2022,Premier League,37.71516843304411
5049,44.68185099428719,7.10635825191214,Kyle Walker-Peters,DF,Southampton,2022,Premier League,37.57549274237505
5050,-18.88647174884589,-9.594991454303269,Sebastian Walukiewicz,DF,Empoli,2022,Serie A,-9.29148029454262
