,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
55,-67.55705189286148,-10.38038850835219,David Akpan Ankeye,FW,Genoa,2023,Serie A,-57.17666338450929
56,-12.268115207374528,-1.867098645033608,Kevin Akpoguma,DF,Hoffenheim,2023,Bundesliga,-10.40101656234092
57,-5.048989166364751,-4.320077113303726,David Alaba,DF,Real Madrid,2023,La Liga,-0.7289120530610251
58,50.57838877565357,2.373340897790685,Luis Alberto,MF,Lazio,2023,Serie A,48.20504787786289
59,6.764402169203583,-5.322815824939329,Raúl Albiol,DF,Villarreal,2023,La Liga,12.087217994142911
60,-45.477988773889216,-10.517971963378862,Thiago Alcántara,MF,Liverpool,2023,Premier League,-34.96001681051035
61,-31.889454522683295,-6.3845523595518285,Carlos Alcaraz,MF,Juventus,2023,Serie A,-25.504902163131465
62,36.045082909772894,11.745740723638352,Rubén Alcaraz,MF,Cádiz,2023,La Liga,24.299342186134542
63,-2.3024833139084415,0.5231668332220699,Omar Alderete,DF,Getafe,2023,La Liga,-2.8256501471305113
64,-3.95420719155722,14.789315362134165,Iván Alejo,MF,Cádiz,2023,La Liga,-18.743522553691385
65,-15.816704536218198,1.4017506584983503,Carles Aleñá,"MF,FW",Getafe,2023,La Liga,-17.218455194716547
66,47.122166299704936,5.3298735002397795,Trent Alexander-Arnold,DF,Liverpool,2023,Premier League,41.79229279946516
67,-58.72823259571676,-5.842500871433202,Aboubacar Ali,"MF,FW",Strasbourg,2023,Ligue 1,-52.88573172428356
68,-41.53642375179516,-5.751033648276613,Mohamed Ali Cho,"FW,MF",Real Sociedad,2023,La Liga,-35.78539010351855
69,-25.871868065400303,-4.583641570169637,Mohamed Ali Cho,"FW,MF",Nice,2023,Ligue 1,-21.288226495230667
70,-67.51482747672766,-10.449180235865526,Yanis Ali Issoufou,FW,Montpellier,2023,Ligue 1,-57.065647240862134
71,-11.348390456818215,1.369123661643272,Faride Alidou,"FW,MF",Köln,2023,Bundesliga,-12.717514118461487
72,-10.299108797913828,-1.7134544697452139,Nabil Alioui,"MF,FW",Le Havre,2023,Ligue 1,-8.585654328168614
73,-37.70461498724464,-6.4839774990975405,Tadeo Allende,"MF,FW",Celta Vigo,2023,La Liga,-31.220637488147098
74,15.52283828235071,2.3175074472859714,Jim Allevinah,"MF,DF",Clermont Foot,2023,Ligue 1,13.20533083506474
75,-20.12359040806633,-6.041861963851336,Domingos André Ribeiro Almeida,"MF,FW",Valencia,2023,La Liga,-14.081728444214995
76,17.853482909225903,0.8872039518203462,Miguel Almirón,FW,Newcastle Utd,2023,Premier League,16.966278957405557
77,13.801855490466627,5.829193248128818,Pontus Almqvist,"FW,MF",Lecce,2023,Serie A,7.972662242337809
78,-26.54465473694628,-8.838214128836325,Marcos Alonso,DF,Barcelona,2023,La Liga,-17.706440608109958
79,-17.278286118763308,-3.1034068565451998,Adrià Altimira,"DF,MF",Villarreal,2023,La Liga,-14.17487926221811
80,-18.290118929852078,-5.486254109903251,Sergi Altimira,MF,Betis,2023,La Liga,-12.803864819948828
81,26.2766768649672,5.952275413473535,Edson Álvarez,MF,West Ham,2023,Premier League,20.324401451493664
82,8.066654543617611,0.46580620710297743,Gastón Álvarez,DF,Getafe,2023,La Liga,7.600848336514634
83,-25.005287533216606,-8.416947093129652,Hugo Álvarez,"MF,DF",Celta Vigo,2023,La Liga,-16.588340440086952
84,44.43899198399242,3.96867943768892,Julián Álvarez,"MF,FW",Manchester City,2023,Premier League,40.470312546303504
85,-17.95377374645022,-5.279495691449666,Yeray Álvarez,DF,Athletic Club,2023,La Liga,-12.674278055000554
86,-26.00754588022409,-3.9431881639812962,Skelly Alvero,MF,Lyon,2023,Ligue 1,-22.064357716242792
87,-28.673000754035975,-9.810592700644495,Skelly Alvero,MF,Werder Bremen,2023,Bundesliga,-18.86240805339148
88,-25.920260988365175,-3.7911429852367196,Papa Amadou Diallo,FW,Metz,2023,Ligue 1,-22.129118003128454
